FIPS,admin2,province,region,last_update,lat,long,confirmed,deaths,recovered,active,combined_key,incident_rate,case_fatality_ratio
,,Oaxaca,Mexico,2021-02-08 05:22:39,17.0732,-96.7266,36520,2638,0,33882,Oaxaca, Mexico,881.3606934850985,7.223439211391018
,,Puebla,Mexico,2021-02-08 05:22:39,19.0414,-98.2063,63931,7495,0,56436,Puebla, Mexico,967.9987026930777,11.723576981433107
,,Queretaro,Mexico,2021-02-08 05:22:39,20.5888,-100.3899,50174,3015,0,47159,Queretaro, Mexico,2200.964451796492,6.009088372463826
,,Quintana Roo,Mexico,2021-02-08 05:22:39,19.1817,-88.4791,19286,2282,0,17004,Quintana Roo, Mexico,1119.1585246326872,11.832417297521518
,,San Luis Potosi,Mexico,2021-02-08 05:22:39,22.1565,-100.9855,53061,4017,0,49044,San Luis Potosi, Mexico,1851.3039479551255,7.57053202917397
,,Sinaloa,Mexico,2021-02-08 05:22:39,25.1721,-107.4795,31967,4892,0,27075,Sinaloa, Mexico,1012.6798015886341,15.303281509056214
,,Sonora,Mexico,2021-02-08 05:22:39,29.2972,-110.3309,64826,5517,0,59309,Sonora, Mexico,2108.3374393648905,8.510474192453644
,,Tabasco,Mexico,2021-02-08 05:22:39,17.8409,-92.6189,54253,3566,0,50687,Tabasco, Mexico,2109.1347893916973,6.572908410594806
,,Tamaulipas,Mexico,2021-02-08 05:22:39,24.2669,-98.8363,49320,4050,0,45270,Tamaulipas, Mexico,1351.0100525885866,8.211678832116789
,,Tlaxcala,Mexico,2021-02-08 05:22:39,19.3139,-98.2404,15698,1944,0,13754,Tlaxcala, Mexico,1137.5271646385427,12.383743151993885
,,Veracruz,Mexico,2021-02-08 05:22:39,19.1738,-96.1342,52291,7418,0,44873,Veracruz, Mexico,612.3166861478558,14.185997590407528
,,Yucatan,Mexico,2021-02-08 05:22:39,20.7099,-89.0943,30837,2787,0,28050,Yucatan, Mexico,1365.0138241014774,9.03784414826345
,,Zacatecas,Mexico,2021-02-08 05:22:39,22.7709,-102.5832,25931,2185,0,23746,Zacatecas, Mexico,1556.0846986304825,8.426208013574486
,,Sin especificar,Nicaragua,2021-02-08 05:22:39,12.865416,-85.207229,6299,170,4225,1904,Nicaragua,95.08564652050538,2.6988410858866487
,,Sin especificar,Panama,2021-02-08 05:22:39,8.538,-80.7821,327091,5480,292302,29309,Panama,7580.732034723535,1.6753747428085761
,,Sin especificar,Paraguay,2021-02-08 05:22:39,-23.4425,-58.4438,138118,2826,114258,21034,Paraguay,1936.4517218995225,2.0460765432456305
,,Sin especificar,Dominican Republic,2021-02-08 05:22:39,18.7357,-70.1627,223398,2831,167214,53353,Dominican Republic,2059.365569606811,1.2672450066697105
,,Sin especificar,Uruguay,2021-02-08 05:22:39,-32.5228,-55.7658,45311,490,38976,5845,Uruguay,1304.3915080258178,1.0814151089139503
,,Sin especificar,Venezuela,2021-02-08 05:22:39,6.4238,-66.5897,130116,1233,122081,6802,Venezuela,457.57582226128386,0.9476159734390851
